T,rep,alpha_true,beta_true,alpha_hat,beta_hat
50,0,0.2,1.0,0.273160144841,1.4583727816549998
50,1,0.2,1.0,0.45431354480499997,0.7475882730335
50,2,0.2,1.0,0.3485234996485,0.6622979241989999
50,0,0.2,3.0,0.29640169613149997,1.5091403964199999
50,1,0.2,3.0,0.31342008522049997,1.4296589175469998
50,2,0.2,3.0,0.295282297065,2.220624936465
50,0,0.2,6.0,0.262958215532,2.844237514045
50,1,0.2,6.0,0.14607185465050002,7.4401775395
50,2,0.2,6.0,0.24871826807349998,4.246942741900001
50,0,0.5,1.0,0.40243800463150003,0.8868176480250001
50,1,0.5,1.0,0.45808922612549996,0.687930117333
50,2,0.5,1.0,0.60910132035,1.5666353706
50,0,0.5,3.0,0.541829695105,4.30007338797
50,1,0.5,3.0,0.578368232205,3.22181997226
50,2,0.5,3.0,0.5147058972649999,3.44137853662
50,0,0.5,6.0,0.63407036094,3.3955896216200006
50,1,0.5,6.0,0.5835171271699999,3.2051873631600003
50,2,0.5,6.0,0.636347069525,4.76799301355
50,0,0.8,1.0,0.5776858072550001,1.35193529978
50,1,0.8,1.0,0.68645937874,0.872886006855
50,2,0.8,1.0,0.771854270455,1.7312577735649997
50,0,0.8,3.0,0.7623680168800001,5.4120538036
50,1,0.8,3.0,0.758210927955,5.456748115250001
50,2,0.8,3.0,0.76679475622,5.577623001149999
50,0,0.8,6.0,0.7624034676200001,5.455536252899999
50,1,0.8,6.0,0.76602617279,5.5396335165999995
50,2,0.8,6.0,0.765347967405,5.9209237556500005
100,0,0.2,1.0,0.32184838598199994,0.980378347675
100,1,0.2,1.0,0.18444194723549998,1.249859139885
100,2,0.2,1.0,0.5977646859610001,0.50300620125
100,0,0.2,3.0,0.198407112195,3.0169430454499997
100,1,0.2,3.0,0.29245180939,3.5345115028
100,2,0.2,3.0,0.184048591967,2.6597806656499996
100,0,0.2,6.0,0.178811287695,7.7694060476499995
100,1,0.2,6.0,0.215608766985,4.61501167365
100,2,0.2,6.0,0.201465998365,4.506455803050001
100,0,0.5,1.0,0.630027262635,0.90558786342
100,1,0.5,1.0,0.45090540795000006,1.2018689840199999
100,2,0.5,1.0,0.504885568565,0.955292815745
100,0,0.5,3.0,0.46930172522499997,2.928776894475
100,1,0.5,3.0,0.58240160312,2.28488498859
100,2,0.5,3.0,0.5624790827249999,5.33798277055
100,0,0.5,6.0,0.499777829265,5.5180292211
100,1,0.5,6.0,0.5617780985549999,3.9028612320000002
100,2,0.5,6.0,0.5178015512849999,5.2424590266
100,0,0.8,1.0,0.71726661943,1.197237332925
100,1,0.8,1.0,0.786740874765,1.0627565933199998
100,2,0.8,1.0,0.6984980709999999,1.242536935605
100,0,0.8,3.0,0.7866516643699999,3.0939126948
100,1,0.8,3.0,0.7739205655549999,6.0926411703
100,2,0.8,3.0,0.76507917266,2.8481623029
100,0,0.8,6.0,0.77806092212,6.4229118425
100,1,0.8,6.0,0.77868179551,6.6043662755
100,2,0.8,6.0,0.697764173635,4.89619434395
200,0,0.2,1.0,0.398372718929,0.6145475857050001
200,1,0.2,1.0,0.16942132929349998,1.5186401870350001
